name,n_mutants,spearman,ndcg,top_recall_10pct,mean_plddt
OBSCN_HUMAN_Tsuboyama_2023_1V1C,3197,0.7922506966540434,0.944282742376009,0.584375,94.0158462524414
ODP2_GEOSE_Tsuboyama_2023_1W4G,1134,0.20116716419697472,0.92874912822165,0.2807017543859649,90.46794891357422
OPSD_HUMAN_Wan_2019,165,0.6545000400715947,0.7843020706908288,0.35294117647058826,87.75
OTC_HUMAN_Lo_2023,1570,0.6249298295795482,0.9074686576592988,0.33121019108280253,91.49287414550781
OTU7A_HUMAN_Tsuboyama_2023_2L2D,635,0.724519491012674,0.9451474124738632,0.34375,91.68928527832031
OXDA_RHOTO_Vanella_2023_activity,6396,0.35687178178270906,0.9044561744046807,0.15,96.30146026611328
OXDA_RHOTO_Vanella_2023_expression,6769,0.4015867673705247,0.9588561606588913,0.14623338257016247,96.30146026611328
P53_HUMAN_Giacomelli_2018_Null_Etoposide,7467,0.40879519538020626,0.9253881014149938,0.08165997322623829,72.57445526123047
P53_HUMAN_Giacomelli_2018_Null_Nutlin,7467,0.37785905387054375,0.7638283854425397,0.07764390896921017,72.60610961914062
P53_HUMAN_Giacomelli_2018_WT_Nutlin,7467,0.3559834857107611,0.8552282604369118,0.05756358768406961,72.60610961914062
P53_HUMAN_Kotler_2018,1048,0.6126575611689854,0.8663089384691115,0.18095238095238095,73.35628509521484
P84126_THETH_Chan_2017,1519,0.6925099990627784,0.9429397054595229,0.3618421052631579,97.42200469970703
PABP_YEAST_Melamed_2013,37708,0.7143887861961534,0.9454565853075488,0.2354813046937152,81.49758911132812
PAI1_HUMAN_Huttinger_2021,5345,0.4233070877625192,0.8795584051514297,0.21121495327102804,88.6141586303711
PA_I34A1_Wu_2015,1820,0.26233376434029665,0.4057927881190997,0.0989010989010989,92.30169677734375
PHOT_CHLRE_Chen_2023,167529,0.4356074422548442,0.9722632618229944,0.34531128753059154,94.02269744873047
PIN1_HUMAN_Tsuboyama_2023_1I6C,802,0.7731265001706722,0.9504622573369802,0.38271604938271603,87.37641906738281
PITX2_HUMAN_Tsuboyama_2023_2L7M,1824,0.5294960709922599,0.9232893751542486,0.3442622950819672,96.44596099853516
